snippet,label,match,pmid,strategy,http_status
Functional upper airway obstruction in adolescents. Functional upper airway obstruction is an,General Pathological Conditions,1.0,40422629,and6,200.0
Protection of the small intestine against irradiation by means of a removable,Neoplasms,1.0,2252782,and6,200.0
Pulmonary tolerance of prophylactic aerosolized pentamidine in human immunodeficiency virus-infected patients. The,General Pathological Conditions,1.0,1995216,and6,200.0
Pain management in the orthopedic patient. Pain is a familiar phenomenon to,Nervous System Diseases,1.0,36683303,and6,200.0
Selective breeding of dogs for segregation of limb edema from microfilaremia as,General Pathological Conditions,1.0,2240373,and6,200.0
Occupational sunlight exposure and melanoma in the U.S. Navy. Melanoma is the,Neoplasms,1.0,29533867,and6,200.0
Orbital compartment syndrome. Direct measurement of orbital tissue pressure: 1. Technique. Many,General Pathological Conditions,1.0,35741290,and6,200.0
Meta-analysis of sulfasalazine in ankylosing spondylitis. At present there is no widely,Nervous System Diseases,1.0,25289064,and6,200.0
Substance-P is present in a subset of thyrotrophs in the human pituitary.,Neoplasms,1.0,1699959,and6,200.0
Stressful events and life satisfaction among elderly men and women. The purpose,General Pathological Conditions,1.0,36614911,nofield,200.0
"Reduction of mortality, sudden death and non-fatal reinfarction with beta-adrenergic blockers in",Cardiovascular Diseases,1.0,40990196,and6,200.0
The Munich Gallbladder Lithotripsy Study. Results of the first 5 years with,Digestive System Diseases,1.0,1987875,and6,200.0
Percutaneous extraction of fractured guidewire from distal right coronary artery. The incidence,Cardiovascular Diseases,1.0,38640288,and6,200.0
Psychophysiological stress testing in postinfarction patients. Psychological correlates of cardiovascular arousal and,Cardiovascular Diseases,1.0,2009627,and6,200.0
The use of a tourniquet when plating tibial fractures. Sixty closed fractures,General Pathological Conditions,1.0,1991784,nofield,200.0
"""Mini-perforation"" of the colon--not all postpolypectomy perforations require laparotomy. In a 10-year",Digestive System Diseases,0.0,,nomatch,200.0
Clinical and prognostic assessment of patients with resected small peripheral lung cancer,Neoplasms,1.0,40597925,and6,200.0
Inflammatory pseudosarcoma (pseudotumor) of the bladder. Inflammatory pseudosarcoma of the bladder is,Neoplasms,1.0,32775481,and6,200.0
"Expression of platelet-derived growth factors, transforming growth factors, and the ros gene",Neoplasms,1.0,40903242,and6,200.0
Serial immunocytologic analysis of blood for tumor cells in two patients with,Neoplasms,1.0,1991307,and6,200.0
Pre-trigeminal neuralgia. Eighteen patients who subsequently developed typical trigeminal neuralgia experienced a,Nervous System Diseases,1.0,2215936,and6,200.0
